josemar@ARAUTO ~/projects/sn9c103/gspca/elgin $ dmesg | grep gspca
[ 2597.821171] usbcore: registered new interface driver gspca_elgin_sn9c103
[ 2622.794493] gspca_elgin_sn9c103-2.14.0 probing 0c45:608f
[ 2622.794511] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_config - 0
[ 2622.794516] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 1
[ 2622.794675] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init - 2
[ 2622.794678] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 3
[ 2622.794842] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_init_controls - 4
[ 2622.794980] input: gspca_elgin_sn9c103 as /devices/pci0000:00/0000:00:1d.0/usb2/2-1/2-1.3/input/input21
[ 2688.202185] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: gspca_start_streaming - 5
[ 2688.204679] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: sd_start - 6
[ 2688.204686] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 7
[ 2688.204856] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 8
[ 2688.205075] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 9
[ 2688.205330] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w_vector - 10
[ 2688.205332] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 11
[ 2688.205334] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 12
[ 2688.216126] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 13
[ 2688.216349] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 14
[ 2688.216352] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 15
[ 2688.228194] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 16
[ 2688.228330] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 17
[ 2688.228332] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 18
[ 2688.240090] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 19
[ 2688.240401] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 20
[ 2688.240403] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 21
[ 2688.256098] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 22
[ 2688.256391] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 23
[ 2688.256393] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 24
[ 2688.268091] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_r - 25
[ 2688.268397] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: i2c_w - 26
[ 2688.268400] gspca_elgin_sn9c103 2-1.3:1.0: Elgin_sn9c103: reg_w - 27
